framework,language,platform,webserver,database,classification,total_requests,scale_factor,throughput,latency_avg_ms,latency_std_ms,latency_max_ms,connections,threads,latency_p50,latency_p75,latency_p90,latency_p99,requests_sec,transfer_sec,total_tcp_sockets,read_errors,write_errors,timeout_requests,benchmarktime,buildtime,dbstarttime,readytime,verifytime,totaltime,total_errors,error_rate,efficiency,system_load
vertx-web-postgres,java,vert.x,none,postgres,micro,187658,16,11728.62,1.27,0.22427,4.11,16,16,1.28,1.43,1.55,1.75,12500.59,21.02,69,0,0,0,499,15,3,1,543,568,0,0,4360.081784386617,Very Low
vertx-web-postgres,java,vert.x,none,postgres,micro,420654,32,28043.6,1.14,0.25683,3.75,32,32,1.12,1.3,1.48,1.77,27856.71,46.84,69,0,0,0,499,15,3,1,543,568,0,0,11469.775051124743,Low
vertx-web-postgres,java,vert.x,none,postgres,micro,1177142,64,78476.13,0.71175,0.23169,2.85,64,56,0.702,0.86,1,1.32,77954.93,131.07,69,0,0,0,499,15,3,1,543,568,0,0,44066.05180037903,Medium Low
vertx-web-postgres,java,vert.x,none,postgres,micro,6427124,128,428474.93,0.26667,0.14045,3.02,128,56,0.224,0.318,0.434,0.834,425637.07,715.64,69,0,0,0,499,15,3,1,543,568,0,0,260734.98708419158,Medium
vertx-web-postgres,java,vert.x,none,postgres,micro,10572070,256,704804.67,0.33127999999999996,0.40099,20.45,256,56,0.298,0.368,0.445,0.828,700155.87,1177.6,69,0,0,0,499,15,3,1,543,568,0,0,67830.72746240848,High
vertx-web-postgres,java,vert.x,none,postgres,micro,12748247,512,849883.13,0.6022000000000001,0.22626,4.94,512,56,0.556,0.676,0.832,1.5,844293.85,1423.36,69,0,0,0,499,15,3,1,543,568,0,0,306695.2221139619,Very High
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,88859,16,5923.93,2.69,0.39399,4.32,16,16,2.68,2.95,3.21,3.66,5917.12,7.91,15,0,0,0,615,327,12,0,648,995,0,0,1690.1369472182598,Very Low
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,164114,32,10940.93,2.92,0.50158,4.83,32,32,2.89,3.26,3.6,4.1,10930.05,14.61,15,0,0,0,615,327,12,0,648,995,0,0,2823.465806451613,Low
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,369228,64,24615.2,2.27,0.55004,5.06,64,56,2.22,2.6,3,3.78,24450.97,32.69,15,0,0,0,615,327,12,0,648,995,0,0,6716.289222373806,Medium Low
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,1073781,128,71585.4,1.56,0.347,4.93,128,56,1.53,1.77,2,2.54,71108.42,95.08,15,0,0,0,615,327,12,0,648,995,0,0,22060.2157164869,Medium
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,1186714,256,79114.27,2.83,0.8271900000000001,9.09,256,56,2.74,3.33,3.94,5.16,78649.63,105.16,15,0,0,0,615,327,12,0,648,995,0,0,13274.206375838927,High
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,1064996,512,66562.25,7.14,2.4,30.1,512,56,6.92,8.54,10.22,14.06,70586.04,94.38,15,0,0,0,615,327,12,0,648,995,0,0,3574.7717508055853,Very High
h2o,c,none,h2o,postgres,platform,185659,16,12377.27,1.29,0.19061,5.11,16,16,1.3,1.41,1.52,1.69,12295.43,16.31,71,0,0,0,848,330,3,0,919,1259,0,0,3867.896875,Very Low
h2o,c,none,h2o,postgres,platform,375833,32,23489.56,1.27,0.23774,4.85,32,32,1.28,1.43,1.57,1.8,24888.94,33.02,71,0,0,0,848,330,3,0,919,1259,0,0,7676.326797385623,Low
h2o,c,none,h2o,postgres,platform,840220,64,56014.67,1,0.29635,5.3,64,56,0.99,1.2,1.38,1.7,55642.99,73.81,71,0,0,0,848,330,3,0,919,1259,0,0,17782.43492063492,Medium Low
h2o,c,none,h2o,postgres,platform,7442167,128,496144.47,0.22861,0.12353,4.6,128,56,0.187,0.292,0.389,0.666,492849.96,653.8,71,0,0,0,848,330,3,0,919,1259,0,0,205501.98504331472,Medium
h2o,c,none,h2o,postgres,platform,13000429,256,866695.27,0.25853,0.09815,9.22,256,56,0.249,0.308,0.378,0.518,860960.41,1146.88,71,0,0,0,848,330,3,0,919,1259,0,0,182875.46064632383,High
h2o,c,none,h2o,postgres,platform,18674815,512,1244987.67,0.40719,0.1455,19.8,512,56,0.396,0.473,0.558,0.762,1236799.56,1638.4,71,0,0,0,848,330,3,0,919,1259,0,0,123222.24614110125,Very High
httpserver-postgres,java,httpserver,none,postgres,platform,5712,16,380.8,41.98,2.06,45.65,16,16,42,42.02,42.11,43.06,380.52,0.503477,8139,0,0,0,133,49,3,1,136,197,0,0,8.69108752710259,Very Low
httpserver-postgres,java,httpserver,none,postgres,platform,11459,32,763.93,41.94,2.13,44,32,32,41.99,42.02,42.07,43.02,758.84,1,8139,0,0,0,133,49,3,1,136,197,0,0,17.778217360949498,Low
httpserver-postgres,java,httpserver,none,postgres,platform,20099,64,1339.93,41.93,2.13,52.06,64,56,41.99,42.02,42.07,43.03,1331,1.76,8139,0,0,0,133,49,3,1,136,197,0,0,28.512182147036917,Medium Low
httpserver-postgres,java,httpserver,none,postgres,platform,40114,128,2674.27,41.98,2.15,47.03,128,56,42,42.04,42.22,43.08,2656.47,3.51,8139,0,0,0,133,49,3,1,136,197,0,0,60.08920346028537,Medium
httpserver-postgres,java,httpserver,none,postgres,platform,221178,256,14745.2,17.58,17.4,53.76,256,56,5.7,29.49,42.93,46.14,14649.08,19.38,8139,123830,0,0,133,49,3,1,136,197,123830,0.5598658094385518,181.9418745911597,High
httpserver-postgres,java,httpserver,none,postgres,platform,471687,512,29480.44,17.32,12.08,65.01,512,56,12.92,25.56,42.02,44.83,31256.3,41.35,8139,336004,0,0,133,49,3,1,136,197,336004,0.7123452628543928,206.00481523471012,Very High
xitca-web-orm,rust,none,xitca-server,postgres,fullstack,184015,16,12267.67,1.3,0.20567,2.05,16,16,1.31,1.44,1.55,1.73,12186.03,15.86,69,0,0,0,732,59,3,0,782,849,0,0,7323.98208955224,Very Low
xitca-web-orm,rust,none,xitca-server,postgres,fullstack,375345,32,23459.06,1.27,0.24694,3.92,32,32,1.29,1.44,1.58,1.82,24857.59,32.36,69,0,0,0,732,59,3,0,782,849,0,0,9040.100192678228,Low
xitca-web-orm,rust,none,xitca-server,postgres,fullstack,747785,64,49852.33,1.12,0.28682,2.63,64,56,1.12,1.31,1.49,1.79,49518.89,64.46,69,0,0,0,732,59,3,0,782,849,0,0,26587.909333333333,Medium Low
xitca-web-orm,rust,none,xitca-server,postgres,fullstack,6087050,128,405803.33,0.28213,0.16312000000000001,3.4,128,56,0.23,0.362,0.47,0.85,403115.79,524.76,69,0,0,0,732,59,3,0,782,849,0,0,220417.7093149889,Medium
xitca-web-orm,rust,none,xitca-server,postgres,fullstack,11567388,256,771159.2,0.28987,0.09583,2.42,256,56,0.276,0.344,0.417,0.572,766066.49,993.28,69,0,0,0,732,59,3,0,782,849,0,0,569148.4831375674,High
xitca-web-orm,rust,none,xitca-server,postgres,fullstack,16412815,512,1094187.67,0.46309,0.14887999999999998,4.75,512,56,0.443,0.541,0.642,0.9,1086971.62,1413.12,69,0,0,0,732,59,3,0,782,849,0,0,419784.6843235011,Very High
viz-pg,rust,rust,hyper,postgres,fullstack,180297,16,12019.8,1.32,0.1953,2.13,16,16,1.34,1.45,1.55,1.73,11941.82,15.52,69,0,0,0,499,50,3,1,543,603,0,0,6967.999999999999,Very Low
viz-pg,rust,rust,hyper,postgres,fullstack,374074,32,24938.27,1.28,0.23367,2.31,32,32,1.29,1.43,1.57,1.79,24771.8,32.2,69,0,0,0,499,50,3,1,543,603,0,0,13893.186629526463,Low
viz-pg,rust,rust,hyper,postgres,fullstack,749471,64,49964.73,1.12,0.28229000000000004,2.37,64,56,1.12,1.31,1.48,1.78,49631.77,64.51,69,0,0,0,499,50,3,1,543,603,0,0,28633.083094555874,Medium Low
viz-pg,rust,rust,hyper,postgres,fullstack,7041157,128,469410.47,0.24176,0.12803,3.02,128,56,0.196,0.305,0.41,0.713,466317.29,606.15,69,0,0,0,499,50,3,1,543,603,0,0,287826.49244579615,Medium
viz-pg,rust,rust,hyper,postgres,fullstack,11946301,256,796420.07,0.28092,0.09466,1.98,256,56,0.268,0.335,0.407,0.558,791170.23,1024,69,0,0,0,499,50,3,1,543,603,0,0,704509.7305521646,High
viz-pg,rust,rust,hyper,postgres,fullstack,16041911,512,1002619.44,0.47292,0.15255000000000002,3.73,512,56,0.456,0.559,0.67,0.91,1062417.05,1382.4,69,0,0,0,499,50,3,1,543,603,0,0,477106.12621701095,Very High
ubiquity-swoole,php,swoole,none,postgres,fullstack,165173,16,11011.53,1.45,0.21749000000000002,4.24,16,16,1.45,1.58,1.71,2.01,10938.43,14.73,211,0,0,0,732,94,2,1,783,887,0,0,3870.485061511424,Very Low
ubiquity-swoole,php,swoole,none,postgres,fullstack,322103,32,21473.53,1.48,0.28913,4.68,32,32,1.47,1.64,1.84,2.23,21330.17,28.72,211,5,0,0,732,94,2,1,783,887,5,1.552298488371732e-5,6971.817099583899,Low
ubiquity-swoole,php,swoole,none,postgres,fullstack,531948,64,35463.2,1.6,0.6269,7.74,64,56,1.49,1.73,2.06,4.59,35225.65,47.43,211,4,0,0,732,94,2,1,783,887,4,7.519531984329296e-6,7593.775874375447,Medium Low
ubiquity-swoole,php,swoole,none,postgres,fullstack,1534770,128,102318,1.12,0.62063,7.9,128,56,0.99,1.33,1.79,3.6,101636.09,136.86,211,4,0,0,732,94,2,1,783,887,4,2.606253705766988e-6,22686.858832224687,Medium
ubiquity-swoole,php,swoole,none,postgres,fullstack,5060222,256,337348.13,0.6910599999999999,0.4446,6.34,256,56,0.543,0.86,1.24,2.31,335103.85,451.25,211,15,0,0,732,94,2,1,783,887,15,2.964296823340952e-6,95959.11000617544,High
ubiquity-swoole,php,swoole,none,postgres,fullstack,6033519,512,402234.6,1.31,0.7926,9.55,512,56,1.15,1.69,2.33,3.96,399579.98,538.07,211,12,0,0,732,94,2,1,783,887,12,1.9888890712037203e-6,74076.20626151013,Very High
chi,go,none,none,mysql,micro,156646,16,10443.07,1.55,0.58092,5.92,16,16,1.39,1.59,2.26,3.88,10374.75,13.41,15,0,0,0,732,14,11,0,786,819,0,0,2796.002677376171,Very Low
chi,go,none,none,mysql,micro,194989,32,12999.27,2.47,1.04,8.64,32,32,2.46,3.07,3.84,5.27,12913.04,16.69,15,0,0,0,732,14,11,0,786,819,0,0,2340.1026102610263,Low
chi,go,none,none,mysql,micro,270036,64,16877.25,3.15,1.53,17.81,64,56,2.85,3.81,5.15,8.29,17882.02,23.11,15,0,0,0,732,14,11,0,786,819,0,0,1610.424618320611,Medium Low
chi,go,none,none,mysql,micro,451544,128,30102.93,3.9,2.6,29.87,128,56,3.05,5.04,7.29,12.92,29902.05,38.64,15,0,0,0,732,14,11,0,786,819,0,0,1782.8208469055373,Medium
chi,go,none,none,mysql,micro,849966,256,56664.4,4.33,3.44,51.84,256,56,3.3,5.68,8.89,16.38,56319.36,72.78,15,0,0,0,732,14,11,0,786,819,0,0,2017.6037030443297,High
chi,go,none,none,mysql,micro,1817354,512,121156.93,4.85,4.43,74.59,512,56,4.15,6.78,10.75,19.56,120355.19,155.53,15,0,0,0,732,14,11,0,786,819,0,0,3050.2751762336347,Very High
rack-sequel-passenger-mri,ruby,rack,passenger,mysql,micro,157919,16,10527.93,1.52,0.32173,8.54,16,16,1.48,1.62,1.78,2.81,10458.72,15.45,3062,0,0,0,465,35,12,4,513,571,0,0,2093.0278330019883,Very Low
rack-sequel-passenger-mri,ruby,rack,passenger,mysql,micro,358562,32,23904.13,1.33,0.27393,8.17,32,32,1.32,1.45,1.58,2.36,23745.99,35.08,3062,0,0,0,465,35,12,4,513,571,0,0,5032.448421052632,Low
rack-sequel-passenger-mri,ruby,rack,passenger,mysql,micro,763366,64,50891.07,1.1,0.23397,6.62,64,56,1.08,1.21,1.35,1.88,50553.72,74.68,3062,0,0,0,465,35,12,4,513,571,0,0,13184.215025906737,Medium Low
rack-sequel-passenger-mri,ruby,rack,passenger,mysql,micro,1085549,128,72369.93,1.55,0.37297,12.84,128,56,1.51,1.72,1.92,2.59,71887.5,106.2,3062,0,0,0,465,35,12,4,513,571,0,0,10058.364141765114,Medium
rack-sequel-passenger-mri,ruby,rack,passenger,mysql,micro,1089353,256,72623.53,3.09,0.38818,14.66,256,56,3.05,3.24,3.45,4.16,72206.66,106.67,3062,0,0,0,465,35,12,4,513,571,0,0,8182.932957746479,High
rack-sequel-passenger-mri,ruby,rack,passenger,mysql,micro,1079804,512,67487.75,7.03,0.4987,17.73,512,56,6.99,7.19,7.43,8.2,71510.39,105.64,3062,0,0,0,465,35,12,4,513,571,0,0,5451.352988691438,Very High
flask,python,wsgi,meinheld,postgres,micro,81925,16,5461.67,2.92,0.53955,13.52,16,16,2.84,3.05,3.37,5.23,5456.71,7.65,155,0,0,0,732,37,3,1,786,837,0,0,664.4367396593675,Very Low
flask,python,wsgi,meinheld,postgres,micro,138102,32,9206.8,3.48,1.02,15.45,32,32,3.09,3.99,5.01,6.36,9145,12.82,155,0,0,0,732,37,3,1,786,837,0,0,972.7205493924986,Low
flask,python,wsgi,meinheld,postgres,micro,223366,64,13960.38,3.8,1.41,21.15,64,56,3.33,4.49,5.34,9.87,14791.1,20.74,155,0,0,0,732,37,3,1,786,837,0,0,1119.0685370741485,Medium Low
flask,python,wsgi,meinheld,postgres,micro,421509,128,28100.6,4.01,1.34,26.96,128,56,4.2,4.91,5.32,9.52,27913.08,39.13,155,0,0,0,732,37,3,1,786,837,0,0,1814.6980949305778,Medium
flask,python,wsgi,meinheld,postgres,micro,427219,256,28481.27,7.99,3.3,80.93,256,56,7.5,9.79,11.79,20.98,28316.32,39.7,155,0,0,0,732,37,3,1,786,837,0,0,640.6043634727844,High
flask,python,wsgi,meinheld,postgres,micro,432667,512,28844.47,17.65,7.36,113.6,512,56,16.06,22.77,26.96,37.65,28669.85,40.19,155,0,0,0,732,37,3,1,786,837,0,0,439.53478095238097,Very High
ohkami,rust,none,ohkami,postgres,micro,128586,16,8572.4,1.86,0.27638,2.98,16,16,1.86,2.05,2.21,2.49,8516,11.1,71,0,0,0,732,71,3,1,783,864,0,0,3542.314049586777,Very Low
ohkami,rust,none,ohkami,postgres,micro,266241,32,17749.4,1.8,0.32380000000000003,3.38,32,32,1.78,2.01,2.22,2.59,17630.75,22.98,71,0,0,0,732,71,3,1,783,864,0,0,6853.050193050194,Low
ohkami,rust,none,ohkami,postgres,micro,453548,64,30236.53,1.85,0.36243000000000003,3.85,64,56,1.84,2.08,2.32,2.75,30035.32,39.16,71,0,0,0,732,71,3,1,783,864,0,0,10609.308771929824,Medium Low
ohkami,rust,none,ohkami,postgres,micro,468740,128,31249.33,3.59,0.46251,5.98,128,56,3.59,3.88,4.16,4.68,31040.9,40.47,71,0,0,0,732,71,3,1,783,864,0,0,6530.6854754440965,Medium
ohkami,rust,none,ohkami,postgres,micro,466679,256,31111.93,7.23,0.5662999999999999,10.32,256,56,7.22,7.59,7.95,8.63,30926.55,40.32,71,0,0,0,732,71,3,1,783,864,0,0,3545.519088319088,High
ohkami,rust,none,ohkami,postgres,micro,476493,512,31766.2,15.95,0.92,19.85,512,56,15.96,16.49,16.99,17.93,31560.7,41.14,71,0,0,0,732,71,3,1,783,864,0,0,1774.6480446927376,Very High
ninja-standalone,java,jetty,none,mysql,fullstack,97842,16,6522.8,2.46,0.48785,13.18,16,16,2.42,2.67,2.91,3.59,6515.16,14.17,271,0,0,0,732,66,12,5,797,888,0,0,834.1176470588236,Very Low
ninja-standalone,java,jetty,none,mysql,fullstack,236046,32,15736.4,2.03,0.37807,7.47,32,32,2.01,2.2,2.37,3.36,15632.43,33.99,271,0,0,0,732,66,12,5,797,888,0,0,3312.9263157894734,Low
ninja-standalone,java,jetty,none,mysql,fullstack,487679,64,32511.93,1.72,0.43156,7.58,64,56,1.66,1.92,2.18,3.33,32293.9,70.22,271,0,0,0,732,66,12,5,797,888,0,0,6991.812903225806,Medium Low
ninja-standalone,java,jetty,none,mysql,fullstack,582307,128,38820.47,2.89,1.12,13.83,128,56,2.74,3.53,4.34,6.28,38560.8,83.85,271,0,0,0,732,66,12,5,797,888,0,0,4643.596889952154,Medium
ninja-standalone,java,jetty,none,mysql,fullstack,579876,256,38658.4,7.69,9.14,106.76,256,56,4.97,7.88,15.05,48.61,38425.6,83.55,271,0,0,0,732,66,12,5,797,888,0,0,675.5508955875929,High
ninja-standalone,java,jetty,none,mysql,fullstack,598926,512,37432.88,26.92,33.41,413.07,512,56,7.26,46.62,82.23,121.22,39711.44,86.35,271,0,0,0,732,66,12,5,797,888,0,0,170.1533216664015,Very High
urweb-mysql,ur,ur/web,none,mysql,fullstack,52775,16,3518.33,4.78,2.92,44.1,16,16,3.91,5.99,8.57,15.06,3514.3,4.6,13,0,0,0,499,160,11,3,555,736,0,0,143.95785597381342,Very Low
urweb-mysql,ur,ur/web,none,mysql,fullstack,70023,32,4668.2,7.6,5.92,62.99,32,32,6.32,10.29,15.33,28.22,4662.16,6.1,13,0,0,0,499,160,11,3,555,736,0,0,132.26236010766397,Low
urweb-mysql,ur,ur/web,none,mysql,fullstack,122960,64,8197.33,7.42,5.87,62.49,64,56,5.98,10.07,15.17,27.89,8142.48,10.65,13,0,0,0,499,160,11,3,555,736,0,0,234.51094264053785,Medium Low
urweb-mysql,ur,ur/web,none,mysql,fullstack,2717551,128,181170.07,0.62725,0.55608,29.2,128,56,0.553,0.76,0.93,1.26,179973.53,235.48,13,0,0,0,499,160,11,3,555,736,0,0,12147.95665037843,Medium
urweb-mysql,ur,ur/web,none,mysql,fullstack,4101853,256,273456.87,0.8312200000000001,0.5954299999999999,30.25,256,56,0.811,0.91,1.03,1.29,271636.99,355.42,13,0,0,0,499,160,11,3,555,736,0,0,17596.276465338233,High
urweb-mysql,ur,ur/web,none,mysql,fullstack,4097340,512,273156,1.86,0.69774,41.76,512,56,1.84,1.96,2.08,2.33,271359.73,355.06,13,0,0,0,499,160,11,3,555,736,0,0,12524.346629986245,Very High
proteus,java,undertow,none,postgres,micro,155333,16,10355.53,1.54,0.31964,10.83,16,16,1.56,1.76,1.9,2.08,10286.82,13.29,269,0,0,0,499,69,2,2,513,594,0,0,1674.2974939369444,Very Low
proteus,java,undertow,none,postgres,micro,318464,32,21230.93,1.51,0.38136000000000003,18.51,32,32,1.51,1.7,1.88,2.18,21089.1,27.25,269,0,0,0,499,69,2,2,513,594,0,0,2120.972027972028,Low
proteus,java,undertow,none,postgres,micro,562475,64,37498.33,1.51,0.59001,32.04,64,56,1.49,1.7,1.88,2.27,37247.77,48.13,269,0,0,0,499,69,2,2,513,594,0,0,2235.3698956780927,Medium Low
proteus,java,undertow,none,postgres,micro,1415919,128,94394.6,1.27,1.75,79.9,128,56,1.15,1.42,1.68,2.85,93764.89,121.17,269,0,0,0,499,69,2,2,513,594,0,0,2325.849451767894,Medium
proteus,java,undertow,none,postgres,micro,8610954,256,574063.6,0.8352999999999999,3.74,115.5,256,56,0.344,0.435,0.61,11.31,570247.92,736.89,269,0,0,0,499,69,2,2,513,594,0,0,9869.121410268423,High
proteus,java,undertow,none,postgres,micro,9355003,512,623666.87,1.57,6.4,191.24,512,56,0.728,1,1.58,14.04,619532.4,800.58,269,0,0,0,499,69,2,2,513,594,0,0,6469.237798869353,Very High
ohkami-rt_async-std,rust,none,ohkami,postgres,micro,114956,16,7663.73,2.08,0.3222,3.42,16,16,2.08,2.3,2.49,2.81,7656.17,9.98,71,0,0,0,731,70,3,1,784,865,0,0,2786.810909090909,Very Low
ohkami-rt_async-std,rust,none,ohkami,postgres,micro,247375,32,16491.67,1.93,0.38521,3.78,32,32,1.91,2.18,2.44,2.9,16478.44,21.48,71,0,0,0,731,70,3,1,784,865,0,0,5776.416812609456,Low
ohkami-rt_async-std,rust,none,ohkami,postgres,micro,491253,64,32750.2,1.71,0.4688,4.62,64,56,1.67,1.98,2.31,3.05,32532.77,42.41,71,0,0,0,731,70,3,1,784,865,0,0,10347.614533965245,Medium Low
ohkami-rt_async-std,rust,none,ohkami,postgres,micro,511543,128,31971.44,3.28,0.71377,7.16,128,56,3.2,3.65,4.17,5.5,33874.03,44.16,71,0,0,0,731,70,3,1,784,865,0,0,6124.796934865901,Medium
ohkami-rt_async-std,rust,none,ohkami,postgres,micro,526163,256,35077.53,6.42,1.05,12.5,256,56,6.3,6.93,7.69,9.83,34845.09,45.43,71,0,0,0,731,70,3,1,784,865,0,0,3707.984143763213,High
ohkami-rt_async-std,rust,none,ohkami,postgres,micro,541308,512,36087.2,14.04,1.72,23.55,512,56,13.97,15,16.08,18.74,35869.28,46.76,71,0,0,0,731,70,3,1,784,865,0,0,1920.042564511838,Very High
micronaut-r2dbc-graalvm,java,netty,netty,postgres,micro,116347,16,7756.47,2.07,0.64713,26.97,16,16,2.05,2.22,2.37,2.67,7749.63,10.45,519,0,0,0,499,210,3,0,546,766,0,0,534.1921487603306,Very Low
micronaut-r2dbc-graalvm,java,netty,netty,postgres,micro,209950,32,13996.67,2.3,0.65896,20.36,32,32,2.26,2.48,2.7,3.26,13903.2,18.75,519,0,0,0,499,210,3,0,546,766,0,0,1235.3636363636365,Low
micronaut-r2dbc-graalvm,java,netty,netty,postgres,micro,430212,64,28680.8,1.99,0.8103400000000001,22.07,64,56,1.91,2.17,2.45,3.26,28489.36,38.42,519,0,0,0,499,210,3,0,546,766,0,0,2384.106400665004,Medium Low
micronaut-r2dbc-graalvm,java,netty,netty,postgres,micro,1689368,128,112624.53,1.38,3.77,90.2,128,56,0.93,1.12,1.35,12.65,111878.89,150.87,519,0,0,0,499,210,3,0,546,766,0,0,2459.5879012884907,Medium
micronaut-r2dbc-graalvm,java,netty,netty,postgres,micro,2369604,256,157973.6,3,8.79,97.54,256,56,1.25,1.61,2.38,58.77,156933.24,211.62,519,0,0,0,499,210,3,0,546,766,0,0,3142.5024865725086,High
micronaut-r2dbc-graalvm,java,netty,netty,postgres,micro,2365702,512,157713.47,7.56,16.09,132.24,512,56,2.65,4.02,18.08,93.18,156678.77,211.28,519,0,0,0,499,210,3,0,546,766,0,0,2256.272818311874,Very High
aioworkers,python,none,aioworkers.net.web,postgres,platform,111492,16,7432.8,2.15,0.34241000000000005,18.28,16,16,2.15,2.36,2.54,2.91,7427.76,9.97,574,0,0,0,615,25,3,1,687,723,0,0,727.6358296622612,Very Low
aioworkers,python,none,aioworkers.net.web,postgres,platform,208584,32,13905.6,2.3,0.45289999999999997,19.5,32,32,2.3,2.55,2.76,3.33,13813.22,18.53,574,0,0,0,615,25,3,1,687,723,0,0,1275.7431192660551,Low
aioworkers,python,none,aioworkers.net.web,postgres,platform,382047,64,23877.94,2.2,0.5415800000000001,22.42,64,56,2.16,2.45,2.74,3.67,25299.61,33.95,574,0,0,0,615,25,3,1,687,723,0,0,1939.7189277010557,Medium Low
aioworkers,python,none,aioworkers.net.web,postgres,platform,993046,128,66203.07,1.7,0.5597300000000001,24.42,128,56,1.64,1.95,2.27,2.97,65761.31,88.24,574,0,0,0,615,25,3,1,687,723,0,0,5069.147779479326,Medium
aioworkers,python,none,aioworkers.net.web,postgres,platform,2302641,256,153509.4,1.47,0.6234,30.12,256,56,1.38,1.76,2.13,3.08,152493.08,204.62,574,0,0,0,615,25,3,1,687,723,0,0,9718.860398860397,High
aioworkers,python,none,aioworkers.net.web,postgres,platform,2698112,512,179874.13,2.82,0.79216,30.76,512,56,2.79,3.18,3.57,4.26,178679.81,239.76,574,0,0,0,615,25,3,1,687,723,0,0,10713.170339487791,Very High
aiohttp,python,asyncio,gunicorn,postgres,micro,91931,16,6128.73,2.6,0.40047000000000005,8.07,16,16,2.59,2.85,3.09,3.6,6121.73,8.17,693,0,0,0,615,29,3,2,670,711,0,0,1148.7778819119023,Very Low
aiohttp,python,asyncio,gunicorn,postgres,micro,169053,32,11270.2,2.84,0.7733099999999999,11.62,32,32,2.66,3.05,3.82,5.54,11260.62,15.03,693,0,0,0,615,29,3,2,670,711,0,0,1558.8105117565701,Low
aiohttp,python,asyncio,gunicorn,postgres,micro,294500,64,19633.33,2.85,0.65697,8.81,64,56,2.75,3.2,3.72,4.78,19503.16,26.04,693,0,0,0,615,29,3,2,670,711,0,0,3367.63807890223,Medium Low
aiohttp,python,asyncio,gunicorn,postgres,micro,494368,128,32957.87,3.4,1.13,12.19,128,56,3.16,4.13,5,6.54,32737.08,43.71,693,0,0,0,615,29,3,2,670,711,0,0,4228.0782552918545,Medium
aiohttp,python,asyncio,gunicorn,postgres,micro,659198,256,43946.53,5.12,1.25,13.41,256,56,5.03,5.91,6.77,8.42,43693.92,58.34,693,0,0,0,615,29,3,2,670,711,0,0,4743.284403669724,High
aiohttp,python,asyncio,gunicorn,postgres,micro,683048,512,45536.53,11.12,1.81,54.65,512,56,11.26,12.36,13.4,15.02,45264.66,60.43,693,0,0,0,615,29,3,2,670,711,0,0,1384.7203892352136,Very High
beetlex-core,c#,.net,beetlex,postgres,platform,151693,16,10112.87,1.58,0.29585,9.8,16,16,1.59,1.77,1.92,2.15,10045.77,13.1,31,0,0,0,848,12,3,9,918,949,0,0,1777.305799648506,Very Low
beetlex-core,c#,.net,beetlex,postgres,platform,338249,32,22549.93,1.42,0.35172000000000003,9.7,32,32,1.39,1.64,1.87,2.24,22399.57,29.2,31,0,0,0,848,12,3,9,918,949,0,0,4055.742805755396,Low
beetlex-core,c#,.net,beetlex,postgres,platform,825469,64,55031.27,1.02,0.32300999999999996,8.79,64,56,0.99,1.18,1.39,1.91,54667.34,71.27,31,0,0,0,848,12,3,9,918,949,0,0,11219.423037716617,Medium Low
beetlex-core,c#,.net,beetlex,postgres,platform,1916188,128,127745.87,0.88,0.40481,12.6,128,56,0.85,1.04,1.27,1.89,126902.89,165.44,31,0,0,0,848,12,3,9,918,949,0,0,18953.393175074187,Medium
beetlex-core,c#,.net,beetlex,postgres,platform,3534519,256,235634.6,0.96,0.49724,13.45,256,56,0.9,1.16,1.44,2.15,234063.67,305.14,31,0,0,0,848,12,3,9,918,949,0,0,32704.31644691187,High
beetlex-core,c#,.net,beetlex,postgres,platform,5089184,512,318074,1.51,0.69347,11.25,512,56,1.42,1.83,2.27,3.5,337031.2,439.38,31,0,0,0,848,12,3,9,918,949,0,0,49854.85893416928,Very High
quarkus,java,resteasy reactive,vert.x,postgres,fullstack,141795,16,9453,1.69,0.23432,5.95,16,16,1.69,1.83,1.96,2.17,9448.7,12.38,461,0,0,0,732,83,3,7,785,885,0,0,2474.607329842932,Very Low
quarkus,java,resteasy reactive,vert.x,postgres,fullstack,298696,32,19913.07,1.6,0.28087,5.42,32,32,1.6,1.78,1.94,2.23,19780.15,25.92,461,0,0,0,732,83,3,7,785,885,0,0,5673.239316239316,Low
quarkus,java,resteasy reactive,vert.x,postgres,fullstack,672700,64,44846.67,1.25,0.33903,7.58,64,56,1.22,1.44,1.65,2.12,44549.19,58.37,461,0,0,0,732,83,3,7,785,885,0,0,10157.796149490374,Medium Low
quarkus,java,resteasy reactive,vert.x,postgres,fullstack,3611544,128,240769.6,0.46718,0.263,13.95,128,56,0.428,0.564,0.81,1.22,239168.91,313.39,461,0,0,0,732,83,3,7,785,885,0,0,33400.373720797,Medium
quarkus,java,resteasy reactive,vert.x,postgres,fullstack,6405725,256,400357.81,0.58226,0.46564,9.71,256,56,0.413,0.689,1.28,2.22,424258.07,555.93,461,0,0,0,732,83,3,7,785,885,0,0,77797.84226204934,High
